age,gender,course,semester,study_hours,sleep_hours,assignment_pressure,exam_pressure,attendance_stress,screen_time_hours,stress_level,anxiety_level,exercise_frequency,socializing_frequency,emotionally_exhausted,lost_motivation,support_level,mentally_drained_frequency,difficulty_concentrating,weekly_journal,burnout_risk
18,Female,BSc,2,5.2,6.0,6,6,6,6.2,7,5,1-2 times/week,Often,Yes,Sometimes,10,Rarely,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
18,Male,BCA,7,5.7,6.8,5,5,4,8.2,5,7,Never,Rarely,Sometimes,Yes,9,Sometimes,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
19,Male,BSc,4,4.2,8.4,3,5,6,3.4,4,4,3-5 times/week,Never,Yes,No,10,Sometimes,No,Studies are going well and I still get time to relax with friends.,Low
23,Male,BCom,2,2.2,8.9,3,1,4,6.6,2,2,Never,Often,No,No,8,Rarely,Yes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
21,Female,BTech,1,4.8,6.0,5,6,7,9.0,5,7,Never,Rarely,No,Sometimes,5,Sometimes,Yes,Sleep is slightly disturbed because of upcoming internals.,Medium
22,Prefer not to say,BTech,5,6.6,4.2,10,9,9,4.6,10,10,Never,Rarely,Sometimes,Sometimes,5,Often,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
18,Prefer not to say,BCom,5,2.8,8.3,2,2,3,7.6,3,3,3-5 times/week,Rarely,No,Sometimes,9,Sometimes,Yes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
24,Female,BCA,7,4.1,8.9,1,1,2,5.2,2,4,Never,Sometimes,Yes,No,6,Sometimes,Yes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
19,Male,BCA,7,6.6,6.3,6,6,7,7.7,7,7,Daily,Rarely,Sometimes,Yes,4,Often,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
24,Male,BCA,1,9.3,3.9,10,8,10,5.0,9,9,Never,Sometimes,Sometimes,Sometimes,6,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
22,Female,BSc,6,2.5,8.9,3,4,5,3.7,3,2,1-2 times/week,Sometimes,Yes,No,9,Never,No,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
20,Female,BTech,6,8.9,4.6,10,10,8,7.3,10,10,3-5 times/week,Sometimes,Sometimes,Sometimes,4,Always,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
21,Prefer not to say,BTech,5,3.1,8.3,4,3,5,7.7,4,2,3-5 times/week,Often,Sometimes,Sometimes,6,Sometimes,Sometimes,Studies are going well and I still get time to relax with friends.,Low
22,Prefer not to say,BSc,2,8.9,5.4,9,10,10,4.3,10,8,1-2 times/week,Rarely,Yes,Yes,2,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
21,Female,BCA,3,5.7,6.8,8,8,5,8.4,7,7,Never,Often,Yes,Yes,10,Never,Yes,Sleep is slightly disturbed because of upcoming internals.,Medium
24,Female,BCom,8,6.5,3.7,8,10,10,5.7,9,10,1-2 times/week,Sometimes,Sometimes,Yes,3,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
19,Male,BCom,3,7.3,4.0,10,9,8,5.5,10,8,3-5 times/week,Often,Sometimes,Yes,2,Always,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
18,Female,BSc,7,8.8,4.7,10,10,10,7.8,10,9,1-2 times/week,Often,Yes,Sometimes,4,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
19,Prefer not to say,BTech,7,6.4,6.5,8,8,5,3.5,7,5,Daily,Rarely,Sometimes,Yes,3,Sometimes,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
20,Male,BCom,1,5.0,6.2,7,7,4,9.0,6,6,3-5 times/week,Rarely,No,Yes,3,Never,Yes,Sleep is slightly disturbed because of upcoming internals.,Medium
22,Male,BCom,5,2.5,7.0,2,1,4,6.6,2,3,Never,Rarely,Sometimes,Yes,3,Rarely,No,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
22,Prefer not to say,BCA,2,5.2,6.9,8,7,9,7.8,7,5,Never,Sometimes,No,Sometimes,8,Never,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
23,Male,BCom,3,3.5,7.8,4,4,3,6.7,3,3,Daily,Often,Sometimes,No,7,Rarely,Yes,Studies are going well and I still get time to relax with friends.,Low
20,Male,BCom,6,9.5,3.7,7,8,7,5.1,8,9,3-5 times/week,Sometimes,Sometimes,Sometimes,5,Often,Yes,Constant pressure is making me anxious and mentally drained this week.,High
23,Prefer not to say,BCom,8,3.5,8.4,1,1,2,4.3,2,4,1-2 times/week,Sometimes,No,No,8,Rarely,No,Studies are going well and I still get time to relax with friends.,Low
20,Female,BSc,4,6.2,6.1,5,7,5,4.9,6,6,1-2 times/week,Rarely,Yes,Sometimes,7,Always,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
18,Prefer not to say,BCA,5,7.2,5.2,8,8,10,4.8,9,8,1-2 times/week,Often,Yes,Yes,5,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
24,Male,BCom,8,6.9,6.0,5,7,4,3.9,6,6,3-5 times/week,Never,Yes,Yes,9,Always,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
20,Prefer not to say,BTech,2,9.6,4.3,8,10,8,4.6,9,10,Never,Rarely,Yes,Yes,5,Often,Yes,Constant pressure is making me anxious and mentally drained this week.,High
20,Prefer not to say,BSc,8,3.8,7.9,2,4,2,8.5,3,2,1-2 times/week,Often,Yes,No,6,Sometimes,Yes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
21,Male,BCom,5,6.3,5.2,9,8,8,6.0,8,9,Daily,Often,Yes,Yes,4,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
24,Prefer not to say,BSc,1,4.0,7.5,3,4,6,6.9,4,4,3-5 times/week,Rarely,No,Sometimes,10,Never,Sometimes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
23,Female,BSc,7,6.0,6.0,6,4,6,3.5,5,6,3-5 times/week,Sometimes,Yes,Sometimes,3,Always,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
24,Male,BCA,5,5.1,5.8,7,5,6,5.6,6,7,Daily,Never,Yes,Yes,5,Sometimes,Yes,Sleep is slightly disturbed because of upcoming internals.,Medium
23,Male,BCom,5,7.0,5.6,6,6,5,5.5,5,6,Daily,Often,Yes,Sometimes,5,Often,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
20,Prefer not to say,BSc,1,9.5,4.5,8,9,8,8.0,8,9,Daily,Rarely,Sometimes,Sometimes,3,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
19,Female,BTech,6,4.6,6.0,8,7,8,5.3,7,5,1-2 times/week,Often,Yes,Yes,8,Never,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
18,Female,BSc,6,2.0,8.8,3,3,3,6.9,2,3,3-5 times/week,Often,Sometimes,No,10,Sometimes,Yes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
21,Male,BTech,8,6.1,5.9,5,7,6,8.4,6,5,Never,Sometimes,Yes,Sometimes,8,Sometimes,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
18,Prefer not to say,BCom,4,3.7,8.1,2,3,1,4.4,2,2,3-5 times/week,Often,Sometimes,No,3,Rarely,Sometimes,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
23,Female,BSc,8,5.3,5.7,6,5,7,8.1,6,7,Never,Rarely,Sometimes,Sometimes,7,Sometimes,Yes,Sleep is slightly disturbed because of upcoming internals.,Medium
22,Prefer not to say,BCom,5,7.1,4.8,9,10,10,4.3,10,10,1-2 times/week,Sometimes,Yes,Yes,6,Often,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
20,Prefer not to say,BCom,3,7.5,3.6,7,7,10,8.3,8,8,3-5 times/week,Sometimes,Yes,Sometimes,4,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
24,Prefer not to say,BSc,2,6.3,4.4,8,7,8,6.2,8,10,Daily,Sometimes,Sometimes,Sometimes,6,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
23,Male,BCom,5,5.9,6.2,8,7,5,3.8,7,6,Never,Sometimes,Sometimes,Yes,4,Rarely,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
22,Prefer not to say,BCA,7,6.8,6.1,8,6,8,6.7,7,7,3-5 times/week,Never,No,Sometimes,6,Often,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
18,Female,BSc,4,6.4,5.2,9,10,8,7.0,10,9,Never,Never,Sometimes,Yes,2,Often,Yes,Constant pressure is making me anxious and mentally drained this week.,High
24,Prefer not to say,BTech,5,8.3,4.6,7,7,10,4.5,8,9,1-2 times/week,Never,Yes,Yes,1,Always,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
22,Male,BTech,8,4.8,5.5,5,5,7,6.6,5,7,Daily,Rarely,No,Yes,7,Often,Yes,Sleep is slightly disturbed because of upcoming internals.,Medium
23,Female,BTech,2,3.2,8.0,4,5,3,3.4,4,2,3-5 times/week,Sometimes,Sometimes,No,7,Rarely,No,Studies are going well and I still get time to relax with friends.,Low
21,Female,BCA,7,6.1,5.6,7,7,8,5.5,7,7,Never,Sometimes,Sometimes,Sometimes,7,Sometimes,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
18,Prefer not to say,BSc,3,4.3,6.2,6,4,7,8.7,5,5,3-5 times/week,Never,Sometimes,Sometimes,9,Never,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
19,Male,BSc,6,5.7,6.0,4,5,7,4.4,5,5,Daily,Never,No,Sometimes,3,Rarely,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
22,Prefer not to say,BCom,2,7.4,4.1,7,9,6,3.6,8,8,1-2 times/week,Often,Sometimes,Sometimes,3,Often,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
19,Male,BTech,2,6.8,6.0,7,7,8,5.9,7,5,Daily,Often,Sometimes,Yes,4,Sometimes,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
18,Male,BCom,1,3.8,8.4,3,3,4,8.7,4,4,1-2 times/week,Sometimes,Sometimes,Sometimes,4,Never,Sometimes,Studies are going well and I still get time to relax with friends.,Low
18,Female,BTech,7,7.5,3.9,9,10,8,8.2,10,8,Daily,Often,Sometimes,Sometimes,1,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
18,Female,BTech,4,9.8,3.8,9,10,10,6.1,9,10,Daily,Sometimes,Sometimes,Yes,3,Often,Yes,Constant pressure is making me anxious and mentally drained this week.,High
19,Male,BCA,5,5.5,5.7,5,5,8,3.9,6,6,Never,Rarely,No,Sometimes,10,Always,Sometimes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
19,Female,BTech,8,5.9,6.8,7,8,7,7.8,7,6,Never,Sometimes,No,Yes,7,Often,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
21,Prefer not to say,BTech,8,2.9,7.7,5,5,3,4.9,4,2,Daily,Rarely,Yes,Sometimes,4,Rarely,No,Studies are going well and I still get time to relax with friends.,Low
22,Prefer not to say,BCA,6,2.1,8.3,4,4,5,5.5,4,3,3-5 times/week,Never,No,No,8,Never,Sometimes,Studies are going well and I still get time to relax with friends.,Low
20,Male,BCA,6,2.9,8.4,4,5,5,3.8,4,4,Never,Sometimes,No,Sometimes,8,Never,No,"Feeling okay this week, workload is manageable and sleep has been decent.",Low
22,Female,BTech,6,10.0,5.4,10,9,9,5.1,10,8,Daily,Rarely,Yes,Yes,2,Often,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
23,Female,BCA,7,9.1,3.7,9,9,9,8.0,10,10,1-2 times/week,Often,Yes,Sometimes,3,Often,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
20,Female,BCA,6,6.4,6.6,6,6,6,5.8,5,7,3-5 times/week,Often,No,Sometimes,5,Rarely,Yes,"A bit stressed due to assignments and quizzes, but I think I can manage.",Medium
23,Prefer not to say,BTech,5,7.9,3.6,8,8,9,5.7,9,10,1-2 times/week,Often,Yes,Yes,4,Always,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
19,Male,BSc,2,5.1,6.1,7,7,6,7.7,6,5,1-2 times/week,Never,Sometimes,Sometimes,5,Often,Sometimes,Sleep is slightly disturbed because of upcoming internals.,Medium
18,Female,BCA,5,4.1,6.9,4,4,4,5.5,5,5,Daily,Never,Yes,Sometimes,3,Always,Yes,Sleep is slightly disturbed because of upcoming internals.,Medium
19,Prefer not to say,BTech,6,6.0,4.1,8,10,10,6.0,9,8,Never,Often,Sometimes,Yes,6,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
22,Male,BCom,5,10.0,4.3,9,9,8,8.2,10,10,1-2 times/week,Never,No,Sometimes,2,Sometimes,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
18,Male,BSc,4,11.9,3.7,8,9,8,5.3,10,10,1-2 times/week,Often,Sometimes,Yes,2,Always,No,Constant pressure is making me anxious and mentally drained this week.,High
21,Male,BTech,7,10.4,4.8,10,9,8,8.5,10,8,1-2 times/week,Rarely,Yes,Yes,5,Always,Sometimes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
19,Prefer not to say,BTech,1,11.8,5.5,7,8,10,6.5,7,10,1-2 times/week,Rarely,Yes,Yes,1,Always,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
21,Male,BSc,3,11.0,4.8,8,9,7,3.7,9,7,1-2 times/week,Rarely,Yes,Yes,5,Always,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
21,Female,BSc,7,8.3,3.1,9,9,7,3.2,7,9,Never,Sometimes,Yes,Yes,5,Sometimes,Yes,"Barely sleeping, so many deadlines and I feel like I'm falling behind.",High
19,Male,BTech,6,11.4,4.9,8,7,10,8.2,10,10,Never,Often,Yes,Sometimes,4,Often,No,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
20,Male,BCA,1,7.6,4.0,9,9,6,5.4,8,7,Never,Rarely,Sometimes,Sometimes,5,Sometimes,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
19,Female,BTech,1,10.2,5.0,7,10,7,8.9,10,9,1-2 times/week,Sometimes,Yes,Sometimes,5,Often,Sometimes,Crying from stress multiple times this week. Cannot cope with the pressure.,High
21,Male,BCA,3,10.6,5.4,10,10,9,8.6,10,10,1-2 times/week,Sometimes,Sometimes,Sometimes,2,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
20,Female,BSc,4,8.3,6.0,8,10,10,8.4,9,9,Never,Rarely,Sometimes,Sometimes,1,Often,Yes,Constant pressure is making me anxious and mentally drained this week.,High
21,Male,BTech,5,8.4,3.9,8,8,8,6.9,7,10,1-2 times/week,Rarely,Yes,Sometimes,3,Always,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
19,Male,BTech,6,11.9,4.5,10,9,8,7.8,8,7,1-2 times/week,Rarely,Yes,Sometimes,3,Often,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
22,Male,BCom,5,11.6,4.3,7,9,8,8.9,10,9,Never,Rarely,Yes,Yes,2,Often,No,I'm exhausted and can't focus. Everything feels too much right now.,High
21,Female,BTech,6,8.8,3.8,8,8,7,7.4,7,7,1-2 times/week,Rarely,Yes,Sometimes,3,Sometimes,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
21,Prefer not to say,BTech,8,9.9,3.1,7,8,10,8.0,8,8,Never,Never,Yes,Yes,5,Often,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
18,Female,BTech,4,9.1,5.1,10,10,10,8.8,8,8,Never,Rarely,Yes,Sometimes,2,Never,No,Crying from stress multiple times this week. Cannot cope with the pressure.,High
19,Male,BTech,6,7.5,3.5,7,7,6,8.7,9,10,1-2 times/week,Sometimes,Yes,Yes,3,Always,Yes,I'm exhausted and can't focus. Everything feels too much right now.,High
23,Male,BTech,4,7.9,3.1,8,10,10,5.8,7,8,Never,Rarely,Yes,Sometimes,2,Sometimes,Yes,Mentally drained every single day. Can't find motivation to study.,High
23,Female,BSc,2,7.1,4.8,9,10,9,5.3,10,7,1-2 times/week,Sometimes,Sometimes,Yes,1,Always,Yes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
18,Male,BCA,2,10.4,3.2,10,7,7,7.1,8,8,Never,Rarely,Sometimes,Yes,3,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
24,Female,BSc,8,7.6,3.8,10,10,10,4.4,9,7,1-2 times/week,Rarely,Yes,Yes,4,Always,Yes,"Barely sleeping, so many deadlines and I feel like I'm falling behind.",High
23,Male,BTech,4,8.8,5.9,9,10,9,6.4,9,10,Never,Rarely,Yes,Sometimes,4,Always,Sometimes,Crying from stress multiple times this week. Cannot cope with the pressure.,High
21,Female,BCom,2,10.1,3.3,9,8,10,4.3,7,8,3-5 times/week,Never,Yes,Yes,5,Often,Sometimes,I feel like quitting. The workload is unsustainable and I feel empty.,High
19,Prefer not to say,BSc,7,9.4,4.1,9,9,7,8.4,9,8,1-2 times/week,Never,Yes,Yes,4,Always,Sometimes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
18,Male,BCA,1,8.1,5.9,10,7,10,3.3,7,10,1-2 times/week,Often,Yes,Sometimes,4,Rarely,Yes,"Barely sleeping, so many deadlines and I feel like I'm falling behind.",High
21,Male,BCom,3,11.5,3.1,10,8,9,3.6,7,10,Never,Sometimes,Yes,Yes,4,Rarely,No,I'm exhausted and can't focus. Everything feels too much right now.,High
21,Male,BSc,5,7.7,3.2,8,8,8,7.4,9,7,Never,Often,Sometimes,Yes,1,Always,Yes,I feel like quitting. The workload is unsustainable and I feel empty.,High
20,Male,BSc,3,11.2,5.5,8,7,8,3.8,7,10,Never,Sometimes,Yes,Sometimes,3,Often,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
24,Female,BTech,5,8.0,5.6,10,10,7,5.1,10,9,1-2 times/week,Sometimes,Sometimes,Yes,4,Always,No,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
20,Female,BCA,7,10.8,4.9,8,9,8,8.4,10,10,Daily,Sometimes,Yes,Sometimes,3,Always,Yes,Crying from stress multiple times this week. Cannot cope with the pressure.,High
23,Female,BCom,4,9.3,5.5,7,10,9,5.8,8,8,1-2 times/week,Rarely,Yes,Yes,3,Often,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
19,Male,BSc,4,8.7,5.7,9,9,10,8.8,7,8,Never,Sometimes,Yes,Yes,5,Often,Yes,I feel like quitting. The workload is unsustainable and I feel empty.,High
21,Male,BCA,8,11.4,5.8,7,7,7,8.2,10,7,1-2 times/week,Often,Yes,No,2,Always,Yes,I feel like quitting. The workload is unsustainable and I feel empty.,High
18,Male,BTech,3,11.5,4.5,9,10,10,8.2,8,9,Never,Never,Sometimes,Yes,1,Always,Yes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
21,Female,BCA,2,7.4,4.6,8,9,6,6.4,8,7,Never,Often,Yes,Yes,3,Always,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
19,Male,BTech,4,11.3,3.3,8,9,6,3.5,9,9,Never,Often,Yes,Yes,4,Always,Yes,Mentally drained every single day. Can't find motivation to study.,High
20,Female,BSc,2,8.4,5.3,8,8,9,5.6,7,10,Never,Never,Yes,Yes,5,Often,No,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
20,Female,BCA,5,7.3,6.0,7,10,7,3.5,9,7,Never,Never,Yes,Sometimes,3,Often,No,Crying from stress multiple times this week. Cannot cope with the pressure.,High
22,Male,BTech,6,7.2,5.3,9,7,10,4.2,8,9,Never,Sometimes,Sometimes,Yes,4,Often,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
23,Female,BSc,5,8.5,5.2,9,7,6,5.1,9,9,1-2 times/week,Never,Yes,Yes,3,Often,Yes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
22,Female,BCom,6,10.8,5.1,9,9,6,3.2,8,8,3-5 times/week,Often,Yes,Sometimes,4,Often,Sometimes,I feel like quitting. The workload is unsustainable and I feel empty.,High
20,Female,BCA,5,10.6,4.9,9,10,9,7.3,9,7,3-5 times/week,Often,Yes,Yes,2,Always,Yes,I'm exhausted and can't focus. Everything feels too much right now.,High
23,Male,BCom,4,11.6,5.4,7,10,7,7.6,9,8,Never,Never,Yes,Sometimes,3,Often,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
23,Female,BTech,7,8.6,3.7,9,7,6,7.5,8,10,3-5 times/week,Sometimes,Yes,Yes,2,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
18,Male,BCA,8,9.9,3.5,7,10,6,5.2,9,9,1-2 times/week,Never,Sometimes,Yes,4,Often,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
19,Female,BTech,8,7.3,5.2,9,10,8,5.1,8,7,1-2 times/week,Rarely,Sometimes,Sometimes,1,Always,Yes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
19,Female,BTech,5,7.4,5.3,8,8,8,6.9,10,7,Never,Rarely,Sometimes,Sometimes,1,Often,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
19,Female,BCA,5,7.9,5.0,9,10,7,7.8,10,8,1-2 times/week,Sometimes,No,No,5,Often,Yes,I'm exhausted and can't focus. Everything feels too much right now.,High
23,Female,BTech,5,9.1,5.7,9,7,9,5.0,9,8,Never,Never,Sometimes,Yes,1,Often,Yes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
23,Female,BTech,8,11.9,4.4,10,7,7,3.1,8,7,1-2 times/week,Sometimes,Yes,Yes,3,Often,Yes,Crying from stress multiple times this week. Cannot cope with the pressure.,High
22,Female,BCA,1,8.4,4.7,7,8,7,7.3,7,8,Never,Rarely,Yes,Sometimes,2,Often,Sometimes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
20,Prefer not to say,BCA,2,9.1,4.1,8,9,6,3.5,10,9,Never,Rarely,Yes,Yes,1,Always,Sometimes,Mentally drained every single day. Can't find motivation to study.,High
19,Male,BCA,7,8.3,4.8,9,7,8,6.6,8,7,3-5 times/week,Never,Yes,Sometimes,1,Always,Sometimes,I feel like quitting. The workload is unsustainable and I feel empty.,High
18,Male,BTech,3,8.4,4.8,9,7,9,7.8,7,7,3-5 times/week,Sometimes,Yes,Yes,3,Always,Sometimes,"Barely sleeping, so many deadlines and I feel like I'm falling behind.",High
19,Male,BCA,2,7.3,5.0,10,8,6,4.1,7,8,3-5 times/week,Never,Sometimes,Yes,2,Often,Sometimes,I feel like quitting. The workload is unsustainable and I feel empty.,High
20,Male,BCA,7,7.2,4.8,9,10,9,5.9,9,7,1-2 times/week,Rarely,Yes,Sometimes,1,Often,Sometimes,I feel like quitting. The workload is unsustainable and I feel empty.,High
20,Prefer not to say,BCA,2,7.1,5.6,7,8,8,3.4,8,10,Never,Never,Yes,Yes,4,Always,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
19,Male,BSc,3,9.3,3.9,8,10,7,4.4,7,10,Never,Often,Yes,Yes,4,Sometimes,No,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
20,Prefer not to say,BCom,5,11.9,5.2,10,9,9,8.0,8,7,3-5 times/week,Never,Yes,Yes,1,Sometimes,Sometimes,"I feel overwhelmed with assignments and exams, not sleeping well at all.",High
23,Male,BCom,3,10.0,4.6,9,8,8,7.5,8,7,Never,Sometimes,Yes,Yes,1,Often,Sometimes,"Barely sleeping, so many deadlines and I feel like I'm falling behind.",High
24,Male,BCom,4,7.2,4.0,7,7,8,3.5,10,10,Never,Rarely,Sometimes,Yes,5,Sometimes,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
20,Prefer not to say,BCA,5,11.5,4.7,10,8,8,8.2,7,8,1-2 times/week,Often,Yes,Yes,1,Often,Yes,"Barely sleeping, so many deadlines and I feel like I'm falling behind.",High
24,Male,BCom,1,7.1,5.5,8,10,8,4.4,9,9,Never,Sometimes,Sometimes,Yes,2,Sometimes,Sometimes,Mentally drained every single day. Can't find motivation to study.,High
21,Female,BTech,8,11.1,3.4,9,8,7,5.6,8,9,Never,Rarely,Sometimes,Sometimes,4,Always,Yes,Crying from stress multiple times this week. Cannot cope with the pressure.,High
21,Female,BTech,3,11.3,6.0,9,7,9,7.5,9,10,3-5 times/week,Never,Yes,Yes,3,Sometimes,Yes,Severe anxiety before exams. I've been skipping meals and losing sleep.,High
18,Female,BCom,1,7.8,5.4,7,9,9,8.0,9,8,Never,Never,Sometimes,No,4,Always,No,I'm exhausted and can't focus. Everything feels too much right now.,High
22,Male,BSc,3,7.2,5.0,10,8,9,5.8,10,10,Never,Often,Sometimes,Sometimes,2,Always,Sometimes,I feel like quitting. The workload is unsustainable and I feel empty.,High
21,Male,BCom,6,9.3,3.0,9,7,9,4.5,7,8,Never,Rarely,Sometimes,Yes,2,Always,Yes,Constant pressure is making me anxious and mentally drained this week.,High
21,Female,BTech,1,11.8,5.7,9,8,8,3.6,7,10,Daily,Never,Yes,Sometimes,4,Often,Sometimes,I'm exhausted and can't focus. Everything feels too much right now.,High
23,Male,BCA,6,7.2,3.2,8,9,7,8.9,8,8,1-2 times/week,Sometimes,Yes,Sometimes,3,Sometimes,Sometimes,Constant pressure is making me anxious and mentally drained this week.,High
